자백,jabaek,jabaeg,chabaek,capayk
고해,gohae,gohae,kohae,kōhay
참회,chamhoe,chamhoe,ch'amhoe,chamhoy
헬스,helseu,helseu,helsŭ,heylsu
남새,namsae,namsae,namsae,namsay
여러해살이,yeoreohaesari,yeoleohaesal-i,yŏrŏhaesari,yelehaysal.i
김정일화,gimjeong-ilhwa,gimjeong-il-hwa,kimjŏngirhwa,kimceng.il.hwa
김일성화,gimilseonghwa,gim-ilseonghwa,kimilsŏnghwa,kim.ilsenghwa
학생소년궁전,haksaengsonyeon-gungjeon,hagsaengsonyeongungjeon,haksaengsonyŏn'gungjŏn,hakqsayngsonyenkwungcen
한국어,han-gugeo,hangug-eo,han'gugŏ,hānkwuk.e
나무,namu,namu,namu,namu
상어,sang-eo,sang-eo,sangŏ,sang.e
일본,Ilbon,Ilbon,Ilbon,Ilpon
마늘,maneul,maneul,manŭl,manul
약실,yaksil,yagsil,yaksil,yakqsil
아홉,ahop,ahob,ahop,ahop
ᆫ다,nda,nda,nda,nta
ᆫ데,nde,nde,nde,ntey
ᆫ지,nji,nji,nji,nci
ᆯ게,lge,lge,lke,lqkey
ᆯ지,lji,lji,lchi,lqci
ᆸ니까,mnikka,bnikka,mnikka,pnikka
ᆸ니다,mnida,bnida,mnida,pnita
ᆸ시다,psida,bsida,psida,pqsita
가가우스어,gagauseueo,gagauseueo,kagausŭŏ,kakawusue
가감,gagam,gagam,kagam,kakam
가강수량,gagangsuryang,gagangsulyang,kagangsuryang,kakangswulyang
가계,gagye,gagye,kagye,kakyey
가곡,gagok,gagog,kagok,kakok
가공,gagong,gagong,kagong,kakong
가공품,gagongpum,gagongpum,kagongp'um,kakongphum
가공하다,gagonghada,gagonghada,kagonghada,kakonghata
가관,gagwan,gagwan,kagwan,kākwan
가구,gagu,gagu,kagu,kakwu
ᄂᄂ,nono,nono,nono,nono
ᄋᄋ,ieung-ieung,ieung-ieung,iŭngiŭng,iung.iung
ᄌᄉ,joesong,joesong,choesong,coysong
ᄏᄏᄏ,keukeukeu,keukeukeu,k'ŭk'ŭk'ŭ,khukhukhu
가까이,gakkai,gakkai,kakkai,kakkai
가까이하다,gakkaihada,gakkaihada,kakkaihada,kakkaihata
가깝다,gakkapda,gakkabda,kakkapta,kakkapqta
가꾸다,gakkuda,gakkuda,kakkuda,kakkwuta
가끔,gakkeum,gakkeum,kakkŭm,kakkum
가끔씩,gakkeumssik,gakkeumssig,kakkŭmssik,kakkumssik
가나,Gana,Gana,Kana,Kana
가난하다,gananhada,ganan-hada,kananhada,kanan.hata
가난히,gananhi,ganan-hi,kananhi,kanan.hi
가내공업,ganaegong-eop,ganaegong-eob,kanaegongŏp,kanaykong.ep
가는돌고기,ganeundolgogi,ganeundolgogi,kanŭndolgogi,kanuntolkoki
가늘다,ganeulda,ganeulda,kanŭlda,kanulta
가늠,ganeum,ganeum,kanŭm,kanum
가늠하다,ganeumhada,ganeumhada,kanŭmhada,kanumhata
가능성,ganeungseong,ganeungseong,kanŭngssŏng,kānungqseng
가닛,ganit,ganis,kanit,kanis
가돌리늄,gadollinyum,gadollinyum,kadollinyum,katollinyum
가두녀성,gadunyeoseong,gadunyeoseong,kadunyŏsŏng,katwunyeseng
가두다,gaduda,gaduda,kaduda,katwuta
가두리,gaduri,gaduli,kaduri,kātwuli
가두배추,gadubaechu,gadubaechu,kadubaech'u,katwupaychwu
가득하다,gadeukhada,gadeug-hada,kadŭkhada,katuk.hata
가득히,gadeukhi,gadeug-hi,kadŭkhi,katuk.hi
가따까나,gattakkana,gattakkana,kattakkana,kattakkana
가라데,garade,galade,karade,kalatey
가라앉다,garaanda,galaanjda,karaanta,kalaancqta
가라오케,garaoke,galaoke,karaok'e,kalaokhey
가락지,garakji,galagji,karakchi,kalakqci
가람,garam,galam,karam,kalam
가련하다,garyeonhada,galyeon-hada,karyŏnhada,kālyen.hata
가련히,garyeonhi,galyeon-hi,karyŏnhi,kalyen.hi
가렵다,garyeopda,galyeobda,karyŏpta,kalyepqta
가로,garo,galo,karo,kalo
가로등,garodeung,galodeung,karodŭng,kalotung
가로막,garomak,galomag,karomak,kalomak
가로채다,garochaeda,galochaeda,karoch'aeda,kalochayta
가루,garu,galu,karu,kalwu
가르다,gareuda,galeuda,karŭda,kaluta
가르치다,gareuchida,galeuchida,karŭch'ida,kaluchita
가르침,gareuchim,galeuchim,karŭch'im,kaluchim
가름,gareum,galeum,karŭm,kalum
가리개,garigae,galigae,karigae,kalikay
가리다,garida,galida,karida,kalita
가리비,garibi,galibi,karibi,kalipi
가마,gama,gama,kama,kama
가마치,gamachi,gamachi,kamach'i,kamachi
가만,gaman,gaman,kaman,kaman
가만가만,gaman-gaman,gamangaman,kaman'gaman,kamankaman
가만두다,gamanduda,gamanduda,kamanduda,kamantwuta
가만히,gamanhi,gaman-hi,kamanhi,kaman.hi
가면,gamyeon,gamyeon,kamyŏn,kāmyen
가면극,gamyeon-geuk,gamyeongeug,kamyŏn'gŭk,kāmyenkuk
가명,gamyeong,gamyeong,kamyŏng,kāmyeng
가무이야기,gamu-iyagi,gamu-iyagi,kamuiyagi,kamuiyaki
가물가물,gamulgamul,gamulgamul,kamulgamul,kamulkamul
가뭄,gamum,gamum,kamum,kamum
가미카제,gamikaje,gamikaje,kamik'aje,kamikhacey
가방,gabang,gabang,kabang,kapang
가벼워지다,gabyeowojida,gabyeowojida,kabyŏwŏjida,kapyewecita
가볍다,gabyeopda,gabyeobda,kabyŏpta,kapyepqta
가보로네,Gaborone,Gabolone,Kaborone,Kapoloney
가봉,Gabong,Gabong,Kabong,Kapong
가브리엘,gabeuriel,gabeuliel,kabŭriel,kapulieyl
가사,gasa,gasa,kasa,kasa
가산,gasan,gasan,kasan,kasan
가새,gasae,gasae,kasae,kasay
가설,gaseol,gaseol,kasŏl,kasel
가설법,gaseolbeop,gaseolbeob,kasŏlpŏp,kāselqpep
가소롭다,gasoropda,gasolobda,kasoropta,kāsolopqta
가소제,gasoje,gasoje,kasoje,kāsocey
가솔린,gasollin,gasollin,kasollin,kasollin
가수,gasu,gasu,kasu,kaswu
가숭어,gasung-eo,gasung-eo,kasungŏ,kāswung.e
가스,gaseu,gaseu,kasŭ,qkasu
가스레인지,gaseureinji,gaseuleinji,kasŭreinji,kasuleyinci
가스파초,gaseupacho,gaseupacho,kasŭp'ach'o,kasuphacho
가슴,gaseum,gaseum,kasŭm,kasum
가슴뼈,gaseumppyeo,gaseumppyeo,kasŭmppyŏ,kasumppye
가시고기,gasigogi,gasigogi,kasigogi,kasikoki
가시나,gasina,gasina,kasina,kasina
가시납지리,gasinapjiri,gasinabjili,kasinapchiri,kasinapqcili
가시다,gasida,gasida,kasida,kasita
가시아버지,gasiabeoji,gasiabeoji,kasiabŏji,kasiapeci
가시어머니,gasieomeoni,gasieomeoni,kasiŏmŏni,kasiemeni
가시집,gasijip,gasijib,kasijip,kasicip
가식,gasik,gasig,kasik,kāsik
가식하다,gasikhada,gasig-hada,kasikhada,kāsik.hata
가야,Gaya,Gaya,Kaya,Kaya
가야금,gayageum,gayageum,kayagŭm,kayakum
가없다,ga-eopda,ga-eobsda,kaŏpta,kāepsqta
가없이,ga-eopsi,ga-eobs-i,kaŏpsi,kāeps.i
가엾다,gayeopda,gayeobsda,kayŏpta,kāyepsqta
가오리,gaori,gaoli,kaori,kaoli
가요,gayo,gayo,kayo,kayo
가운데,gaunde,gaunde,kaunde,kawuntey
가위,gawi,gawi,kawi,kawi
가위바위보,gawibawibo,gawibawibo,kawibawibo,kawipawipo
가을,ga-eul,ga-eul,kaŭl,kaul
가이드,gaideu,gaideu,kaidŭ,kaitu
가이아나,Gaiana,Gaiana,Kaiana,Kaiana
가자,Gaja,Gaja,Kaja,Kaca
가자 지구,Gaja jigu,Gaja jigu,Kaja chigu,Kaca cikwu
가장,gajang,gajang,kajang,kacang
가재,gajae,gajae,kajae,kācay
가정,gajeong,gajeong,kajŏng,kaceng
가정법,gajeongbeop,gajeongbeob,kajŏngpŏp,kācengqpep
가정부,gajeongbu,gajeongbu,kajŏngbu,kacengpu
가제,gaje,gaje,kaje,kacey
가젤,gajel,gajel,kajel,kaceyl
가져가다,gajyeogada,gajyeogada,kajyŏgada,kacyekata
가져오다,gajyeooda,gajyeooda,kajyŏoda,kacyeota
가족,gajok,gajog,kajok,kacok
가주,Gaju,Gaju,Kaju,Kacwu
가죽,gajuk,gajug,kajuk,kacwuk
가죽끈,gajukkkeun,gajugkkeun,kajukkŭn,kacwukkkun
가지,gaji,gaji,kaji,kaci
가지가지,gajigaji,gajigaji,kajigaji,kacikaci
가지고,gajigo,gajigo,kajigo,kaciko
가지뿔,gajippul,gajippul,kajippul,kacippul
가짜,gajja,gajja,katcha,kācca
가창,gachang,gachang,kach'ang,kachang
가창오리,gachang-ori,gachang-oli,kach'angori,kachang.oli
가축,gachuk,gachug,kach'uk,kachwuk
가치,gachi,gachi,kach'i,kachi
가치관,gachigwan,gachigwan,kach'igwan,kachikwan
가타나,gatana,gatana,kat'ana,kathana
가타카나,gatakana,gatakana,kat'ak'ana,kathakhana
가톨릭,gatollik,gatollig,kat'ollik,kathollik
가파르다,gapareuda,gapaleuda,kap'arŭda,kaphaluta
가하다,gahada,gahada,kahada,kahata
가히,gahi,gahi,kahi,kāhi
각국,gakguk,gaggug,kakkuk,kakqkwuk
각기,gakgi,gaggi,kakki,kakqki
각막,gangmak,gagmag,kangmak,kakmak
각본,gakbon,gagbon,kakpon,kakqpon
각선미,gakseonmi,gagseonmi,kaksŏnmi,kākqsenmi
각시붕어,gaksibung-eo,gagsibung-eo,kaksibungŏ,kakqsipung.e
각자,gakja,gagja,kakcha,kakqca
각종,gakjong,gagjong,kakchong,kakqcong
각하,gakha,gag-ha,kakha,kak.ha
간계,gan-gye,gangye,kan'gye,kankyey
간곡,gan-gok,gangog,kan'gok,kānkok
간곡하다,gan-gokhada,gangog-hada,kan'gokhada,kānkok.hata
간균,gan-gyun,gangyun,kan'gyun,kankyun
간단,gandan,gandan,kandan,kāntan
간단하다,gandanhada,gandan-hada,kandanhada,kantan.hata
간단히,gandanhi,gandan-hi,kandanhi,kantan.hi
간모,ganmo,ganmo,kanmo,kanmo
간물,ganmul,ganmul,kanmul,kanmul
간부,ganbu,ganbu,kanbu,kanpu
간사,gansa,gansa,kansa,kansa
간사하다,gansahada,gansahada,kansahada,kansahata
간선도로,ganseondoro,ganseondolo,kansŏndoro,kansentolo
간섭,ganseop,ganseob,kansŏp,kansep
간성,ganseong,ganseong,kansŏng,kanseng
간식,gansik,gansig,kansik,kānsik
간신,gansin,gansin,kansin,kansin
간쑤,Ganssu,Ganssu,Kanssu,Kansswu
간악,ganak,gan-ag,kanak,kan.ak
간악하다,ganakhada,gan-ag-hada,kanakhada,kan.ak.hata
간유,ganyu,gan-yu,kanyu,kān.yu
간음,ganeum,gan-eum,kanŭm,kān.um
간장,ganjang,ganjang,kanjang,kancang
간접,ganjeop,ganjeob,kanjŏp,kancep
간접화법,ganjeophwabeop,ganjeob-hwabeob,kanjŏphwabŏp,kancep.hwapep
간지,ganji,ganji,kanji,kanci
간직하다,ganjikhada,ganjig-hada,kanjikhada,kancik.hata
간질,ganjil,ganjil,kanjil,kāncil
간질거리다,ganjilgeorida,ganjilgeolida,kanjilgŏrida,kancilkelita
간질대다,ganjildaeda,ganjildaeda,kanjildaeda,kanciltayta
간질이다,ganjirida,ganjil-ida,kanjirida,kancil.ita
간첩,gancheop,gancheob,kanch'ŏp,kānchep
간체,ganche,ganche,kanch'e,kanchey
간체자,gancheja,gancheja,kanch'eja,kancheyca
간추리다,ganchurida,ganchulida,kanch'urida,kanchwulita
간통,gantong,gantong,kant'ong,kānthong
간판,ganpan,ganpan,kanp'an,kanphan
간편하다,ganpyeonhada,ganpyeon-hada,kanp'yŏnhada,kanphyen.hata
간헐천,ganheolcheon,gan-heolcheon,kanhŏlch'ŏn,kān.helchen
간호원,ganhowon,gan-howon,kanhowŏn,kan.howen
갇히다,gathida,gad-hida,kathida,kat.hita
갈고랑이,galgorang-i,galgolang-i,kalgorangi,kalkolang.i
갈고리,galgori,galgoli,kalgori,kalkoli
갈기,galgi,galgi,kalgi,kālki
갈까마귀,galkkamagwi,galkkamagwi,kalkkamagwi,kalkkamakwi
갈다,galda,galda,kalda,kālta
갈등,galdeung,galdeung,kaltŭng,kalqtung
갈라지다,gallajida,gallajida,kallajida,kallacita
갈륨,gallyum,gallyum,kallyum,kallyum
갈리시아,Gallisia,Gallisia,Kallisia,Kallisia
갈림길,gallimgil,gallimgil,kallimkil,kallimqkil
갈문망둑,galmunmangduk,galmunmangdug,kalmunmangduk,kalmunmangtwuk
갈밭쥐,galbatjwi,galbatjwi,kalbatchwi,kalpathqcwi
갈보,galbo,galbo,kalbo,kalpo
갈비,galbi,galbi,kalbi,kalpi
갈비뼈,galbippyeo,galbippyeo,kalbippyŏ,kalpippye
갈비탕,galbitang,galbitang,kalbit'ang,kalpithang
갈색,galsaek,galsaeg,kalssaek,kalqsayk
갈색얼가니새,galsaegeolganisae,galsaeg-eolganisae,kalsaegŏlganisae,kalsayk.elkanisay
갈수록,galsurok,galsulog,kalssurok,kalqswulok
갈아입다,garaipda,gal-aibda,karaipta,kal.aipqta
갈아타다,garatada,gal-atada,karat'ada,kal.athata
갈옷,garot,gal-os,karot,kal.os
갈음하다,gareumhada,gal-eumhada,karŭmhada,kal.umhata
갈증,galjeung,galjeung,kalchŭng,kalqcung
갈퀴,galkwi,galkwi,kalk'wi,kalkhwi
갈퀴다,galkwida,galkwida,kalk'wida,kalkhwita
갈토,galto,galto,kalt'o,kaltho
갉다,gakda,galgda,kakta,kalkqta
감각,gamgak,gamgag,kamgak,kāmkak
감각적,gamgakjeok,gamgagjeog,kamgakchŏk,kamkakqcek
감금,gamgeum,gamgeum,kamgŭm,kamkum
감기,gamgi,gamgi,kamgi,kāmki
감기다,gamgida,gamgida,kamgida,kamkita
감다,gamda,gamda,kamta,kamqta
감독,gamdok,gamdog,kamdok,kamtok
감돌고기,gamdolgogi,gamdolgogi,kamdolgogi,kamtolkoki
감동,gamdong,gamdong,kamdong,kāmtong
감동사,gamdongsa,gamdongsa,kamdongsa,kāmtongsa
감람,gamnam,gamlam,kamnam,kāmlam
감로,gamno,gamlo,kamno,kamlo
감리교,gamnigyo,gamligyo,kamnigyo,kamlikyo
감마,gamma,gamma,kamma,kamma
감미료,gammiryo,gammilyo,kammiryo,kammilyo
